Marke,Model,Year,Mileage,City,State,Price
Dodge,DartAero,2015,24910,Hazelwood, MO,11500
Hyundai,Entourage4dr,2008,135636,Englewood, CO,6988
Jeep,Grand,2011,139640,Everett, WA,12800
Volvo,S802015.5,2015,29463,Athens, GA,25888
Ford,Mustang2dr,2006,88657,Phoenix, AZ,13550
Hyundai,AccentGLS,2015,45257,Vancouver, WA,10856
Ford,ExplorerLimited,2015,43275,Laurel, MD,31687
Honda,CR-VEX-L,2014,60679,Poughkeepsie, NY,18400
Ford,Focus5dr,2012,17667,Hemingway, SC,15900
Kia,OptimaEX,2014,55702,Winchester, VA,14995
Dodge,Ram,2007,126215,Sacramento, CA,13919
Nissan,Titan,2016,3200,Grapevine, TX,46988
Hyundai,Sonata2.4L,2017,31841,Colorado Springs, CO,13997
Chrysler,300300,2014,33043,Fayetteville, TN,18991
Dodge,ChallengerSXT,2015,21053,Buford, GA,24788
Ford,Mustang2dr,2004,104549,Bogart, GA,6500
Dodge,DurangoSXT,2013,93081,Raleigh, NC,16990
Hyundai,Santa,2014,29590,Allentown, PA,18497
Kia,SportageAWD,2012,87626,Spencerport, NY,12999
BMW,6,2014,39450,Dallas, TX,41472
GMC,Yukon4dr,2006,136274,Denver, CO,7287
Dodge,Grand,2013,51301,Austin, TX,11000
Hyundai,ElantraLimited,2013,57881,Fort Wayne, IN,10995
Toyota,CamrySE,2014,23793,Virginia Beach, VA,15995
Subaru,Forester2.5i,2017,7776,Merrillville, IN,28545
Mercedes-Benz,E-Class4dr,2007,144000,Buford, GA,6930
BMW,3,2017,6163,Camarillo, CA,32230
Buick,EncoreAWD,2016,13316,Pottsville, PA,20495
Nissan,SentraS,2013,95697,Wesley Chapel, FL,8652
BMW,3,2016,34886,Fife, WA,23891
Kia,Sportage2WD,2017,16100,Vero Beach, FL,19787
Buick,RendezvousCX,2003,108589,Fond Du Lac, WI,4597
Nissan,PathfinderSL,2014,52234,Monmouth Junction, NJ,22241
Honda,FitAutomatic,2012,30601,Naples, FL,11904
INFINITI,QX602WD,2014,40025,Honolulu, HI,28999
Ford,F-1504WD,2011,33616,Heber Springs, AR,29000
Nissan,Altima4dr,2012,114116,Mobile, AL,6490
Ford,FusionTitanium,2017,27315,Kenly, NC,19490
Toyota,Tacoma2WD,2008,229032,Chattanooga, TN,11500
Chevrolet,Malibu1LT,2013,4928,Las Vegas, NV,15999
Mercedes-Benz,M-ClassML350,2014,32993,WEST CHESTER, OH,39999
Toyota,RAV4FWD,2012,67028,Houston, TX,15894
Chevrolet,EquinoxFWD,2013,45281,Oswego, IL,14898
Dodge,Avenger4dr,2010,82453,Louisville, TN,8990
Ford,F-1504WD,2011,100238,Mt Pleasant, MI,19995
Chevrolet,ColoradoExtended,2016,4638,Tampa, Fl,31500
Honda,OdysseyEX-L,2012,88351,Sterling, VA,18000
Toyota,Tacoma4WD,2016,10534,Columbus, OH,29265
BMW,X5xDrive35i,2015,33647,King George, VA,39495
Cadillac,SRXFWD,2012,79619,Alexandria, VA,15895
Hyundai,Sonata2.4L,2017,40545,Victorville, CA,13197
Chevrolet,Impala4dr,2011,65593,Hoffman Estates, IL,9493
Mazda,CX-3FWD,2016,14978,Orlando, FL,18047
Lexus,IS,2015,26180,Grapevine, TX,29988
Honda,Accord,2016,27288,Hemet, CA,20444
Jeep,Wrangler4WD,2012,57255,Fort Collins, CO,21180
Chrysler,200S,2015,7811,Woodbury Heights, NJ,20999
Nissan,Titan2WD,2009,183637,Gilmer, TX,8499
Chrysler,Sebring,2006,102528,Murray, UT,2995
Chrysler,Sebring2dr,2002,114082,Crete, NE,3995
Nissan,Maxima4dr,2010,121593,Columbus, GA,9716
GMC,Sierra,2011,140512,Loganville, GA,26995
Chevrolet,Malibu3LT,2015,31096,Omaha, NE,18960
Dodge,AvengerR/T,2014,41791,Johnson City, TN,15000
Kia,SedonaLX,2016,36028,Marysville, WA,19298
Ford,F-1502WD,2014,15513,Harrisonville, MO,25000
Pontiac,G64dr,2007,82195,North Olmsted, OH,6970
Chevrolet,EquinoxFWD,2015,17394,Miami, FL,18489
Mercedes-Benz,C-ClassC400,2015,16244,Buena Park, CA,38979
Nissan,Maxima4dr,2012,56793,Upper Marlboro, MD,14999
Ford,F-1502WD,2006,103768,Shawnee, KS,13487
Jeep,PatriotSport,2016,36975,Houston, TX,13440
Acura,TLXFWD,2015,29531,Plano, TX,26293
Toyota,Tundra,2016,21032,Winter Park, FL,38541
Chevrolet,Corvette,2014,19377,Fredericksburg, VA,49977
BMW,3,2012,99750,Tempe, AZ,16995
Mercedes-Benz,E-ClassE350,2015,8619,SUGAR LAND, TX,39888
Nissan,PathfinderSL,2014,43653,Birmingham, AL,25988
Volkswagen,Passat4dr,2016,34913,West Springfield, MA,15935
Chevrolet,Malibu4dr,2007,137513,Lafayette, IN,4474
Chevrolet,SonicSedan,2015,47174,West Seneca, NY,8995
Honda,Civic,2015,44565,Placentia, CA,11998
Toyota,Sequoia4dr,2006,145644,Avon, IN,10800
Mazda,CX-5Grand,2013,65165,Goldsboro, NC,14426
Nissan,AltimaSedan,2013,29736,Orlando, FL,13995
Lincoln,Mark,2008,116647,West Covina, CA,19595
Chevrolet,MalibuLT,2017,29853,Toledo, OH,17233
Volkswagen,TouaregV6,2017,3103,Burnsville, MN,42995
Nissan,RogueSL,2015,43490,Mesquite, TX,20877
Chevrolet,Tahoe2WD,2015,47213,Edinburg, TX,41995
MINI,Cooper,2014,16852,White Plains, NY,24688
Toyota,Tundra,2012,133114,Sanford, NC,20986
Chevrolet,Silverado,2017,1284,Gainesville, FL,31990
Honda,CR-V2WD,2008,148010,Warner Robins, GA,6924
Toyota,PriusTwo,2015,35255,San Jose, CA,16900
Dodge,Avenger4dr,2012,58026,Memphis, TN,9995
Buick,LaCrosseFWD,2014,37091,Red Springs, NC,16800
Jeep,Grand,2015,41563,Hackettstown, NJ,30995
Nissan,RogueS,2016,11550,Little Rock, AR,20000
Jeep,Grand,2007,191006,Yakima, WA,5697
Chevrolet,Traverse1LT,2014,71825,Fox Lake, IL,20984
Ford,EscapeS,2013,93934,Avon, IN,10000
INFINITI,Q60,2015,9763,Corpus Christi, TX,28595
Chevrolet,ImpalaLS,2011,61650,Fort Worth, TX,11795
Nissan,Maxima4dr,2011,95213,Norfolk, VA,10454
Ford,EdgeSport,2014,41734,Miami, FL,21999
